"Plot Title: 20750528-SHSC.SSM.SGT.240720"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 5)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 25)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 50)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 100)","Host Connected (LGR S/N: 20750528)","End Of File (LGR S/N: 20750528)"
1,07/20/24 09:00:00 PM,11.589,2.557,-0.311,-1.584,,
2,07/20/24 09:30:00 PM,11.759,2.503,-0.311,-1.584,,
3,07/20/24 10:00:00 PM,11.977,2.477,-0.311,-1.584,,
4,07/20/24 10:30:00 PM,12.074,2.477,-0.339,-1.584,,
5,07/20/24 11:00:00 PM,12.147,2.477,-0.339,-1.584,,
6,07/20/24 11:30:00 PM,12.268,2.503,-0.339,-1.584,,
7,07/21/24 12:00:00 AM,12.243,2.503,-0.367,-1.584,,
8,07/21/24 12:30:00 AM,12.147,2.503,-0.367,-1.584,,
9,07/21/24 01:00:00 AM,12.025,2.530,-0.367,-1.584,,
10,07/21/24 01:30:00 AM,11.880,2.530,-0.367,-1.584,,
11,07/21/24 02:00:00 AM,11.759,2.557,-0.395,-1.584,,
12,07/21/24 02:30:00 AM,11.662,2.584,-0.395,-1.584,,
13,07/21/24 03:00:00 AM,11.589,2.584,-0.423,-1.584,,
14,07/21/24 03:30:00 AM,11.492,2.610,-0.423,-1.584,,
15,07/21/24 04:00:00 AM,11.394,2.610,-0.423,-1.584,,
16,07/21/24 04:30:00 AM,11.297,2.637,-0.423,-1.584,,
17,07/21/24 05:00:00 AM,11.200,2.664,-0.451,-1.584,,
18,07/21/24 05:30:00 AM,11.078,2.664,-0.451,-1.584,,
19,07/21/24 06:00:00 AM,10.883,2.690,-0.451,-1.584,,
20,07/21/24 06:30:00 AM,10.663,2.690,-0.451,-1.584,,
21,07/21/24 07:00:00 AM,10.443,2.717,-0.451,-1.584,,
22,07/21/24 07:30:00 AM,10.247,2.744,-0.451,-1.584,,
23,07/21/24 08:00:00 AM,10.051,2.744,-0.479,-1.584,,
24,07/21/24 08:30:00 AM,9.854,2.770,-0.479,-1.584,,
25,07/21/24 09:00:00 AM,9.682,2.770,-0.479,-1.584,,
26,07/21/24 09:30:00 AM,9.460,2.797,-0.479,-1.584,,
27,07/21/24 10:00:00 AM,9.238,2.797,-0.479,-1.584,,
28,07/21/24 10:30:00 AM,8.965,2.823,-0.479,-1.584,,
29,07/21/24 11:00:00 AM,8.767,2.823,-0.479,-1.584,,
30,07/21/24 11:30:00 AM,8.668,2.823,-0.507,-1.584,,
31,07/21/24 12:00:00 PM,8.668,2.823,-0.507,-1.584,,
