"Plot Title: 20750528-SHSC.SSM.SGT.240720"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 5)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 25)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 50)","Temp, °C (LGR S/N: 20750528, SEN S/N: 20750528, LBL: 100)","Host Connected (LGR S/N: 20750528)","Stopped (LGR S/N: 20750528)","End Of File (LGR S/N: 20750528)"
1,24/07/20 21:00:00,11.589,2.557,-0.311,-1.584,,,
2,24/07/20 21:30:00,11.759,2.503,-0.311,-1.584,,,
3,24/07/20 22:00:00,11.977,2.477,-0.311,-1.584,,,
4,24/07/20 22:30:00,12.074,2.477,-0.339,-1.584,,,
5,24/07/20 23:00:00,12.147,2.477,-0.339,-1.584,,,
6,24/07/20 23:30:00,12.268,2.503,-0.339,-1.584,,,
7,24/07/21 00:00:00,12.243,2.503,-0.367,-1.584,,,
8,24/07/21 00:30:00,12.147,2.503,-0.367,-1.584,,,
9,24/07/21 01:00:00,12.025,2.530,-0.367,-1.584,,,
10,24/07/21 01:30:00,11.880,2.530,-0.367,-1.584,,,
11,24/07/21 02:00:00,11.759,2.557,-0.395,-1.584,,,
12,24/07/21 02:30:00,11.662,2.584,-0.395,-1.584,,,
13,24/07/21 03:00:00,11.589,2.584,-0.423,-1.584,,,
14,24/07/21 03:30:00,11.492,2.610,-0.423,-1.584,,,
15,24/07/21 04:00:00,11.394,2.610,-0.423,-1.584,,,
16,24/07/21 04:30:00,11.297,2.637,-0.423,-1.584,,,
17,24/07/21 05:00:00,11.200,2.664,-0.451,-1.584,,,
18,24/07/21 05:30:00,11.078,2.664,-0.451,-1.584,,,
19,24/07/21 06:00:00,10.883,2.690,-0.451,-1.584,,,
20,24/07/21 06:30:00,10.663,2.690,-0.451,-1.584,,,
21,24/07/21 07:00:00,10.443,2.717,-0.451,-1.584,,,
22,24/07/21 07:30:00,10.247,2.744,-0.451,-1.584,,,
23,24/07/21 08:00:00,10.051,2.744,-0.479,-1.584,,,
24,24/07/21 08:30:00,9.854,2.770,-0.479,-1.584,,,
25,24/07/21 09:00:00,9.682,2.770,-0.479,-1.584,,,
26,24/07/21 09:30:00,9.460,2.797,-0.479,-1.584,,,
27,24/07/21 10:00:00,9.238,2.797,-0.479,-1.584,,,
28,24/07/21 10:30:00,8.965,2.823,-0.479,-1.584,,,
29,24/07/21 11:00:00,8.767,2.823,-0.479,-1.584,,,
30,24/07/21 11:30:00,8.668,2.823,-0.507,-1.584,,,
31,24/07/21 12:00:00,8.668,2.823,-0.507,-1.584,,,
32,24/07/21 12:30:00,8.693,2.823,-0.507,-1.584,,,
33,24/07/21 13:00:00,8.767,2.823,-0.507,-1.584,,,
34,24/07/21 13:30:00,8.841,2.823,-0.507,-1.584,,,
35,24/07/21 14:00:00,8.866,2.823,-0.507,-1.584,,,
36,24/07/21 14:30:00,8.916,2.823,-0.507,-1.584,,,
37,24/07/21 15:00:00,8.941,2.823,-0.507,-1.584,,,
38,24/07/21 15:30:00,9.015,2.823,-0.507,-1.584,,,
39,24/07/21 16:00:00,9.139,2.823,-0.507,-1.584,,,
40,24/07/21 16:30:00,9.287,2.797,-0.507,-1.584,,,
41,24/07/21 17:00:00,9.435,2.797,-0.507,-1.584,,,
42,24/07/21 17:30:00,9.608,2.797,-0.535,-1.584,,,
43,24/07/21 18:00:00,9.805,2.797,-0.535,-1.584,,,
44,24/07/21 18:30:00,10.026,2.797,-0.535,-1.584,,,
45,24/07/21 19:00:00,10.320,2.770,-0.535,-1.584,,,
46,24/07/21 19:30:00,10.590,2.770,-0.535,-1.584,,,
47,24/07/21 20:00:00,10.932,2.770,-0.535,-1.584,,,
48,24/07/21 20:30:00,11.346,2.770,-0.535,-1.584,,,
49,24/07/21 21:00:00,11.734,2.770,-0.535,-1.584,,,
50,24/07/21 21:30:00,12.025,2.770,-0.535,-1.584,,,
51,24/07/21 22:00:00,12.437,2.770,-0.535,-1.584,,,
52,24/07/21 22:30:00,12.799,2.770,-0.535,-1.584,,,
53,24/07/21 23:00:00,13.112,2.770,-0.535,-1.584,,,
54,24/07/21 23:30:00,13.305,2.770,-0.535,-1.584,,,
55,24/07/22 00:00:00,13.257,2.797,-0.535,-1.584,,,
56,24/07/22 00:30:00,13.209,2.770,-0.535,-1.584,,,
57,24/07/22 01:00:00,13.088,2.797,-0.535,-1.584,,,
58,24/07/22 01:30:00,12.968,2.797,-0.535,-1.584,,,
59,24/07/22 02:00:00,12.847,2.823,-0.535,-1.584,,,
60,24/07/22 02:30:00,12.727,2.823,-0.535,-1.584,,,
61,24/07/22 03:00:00,12.606,2.850,-0.535,-1.584,,,
62,24/07/22 03:30:00,12.558,2.877,-0.535,-1.584,,,
63,24/07/22 04:00:00,12.509,2.903,-0.563,-1.584,,,
64,24/07/22 04:30:00,12.437,2.903,-0.563,-1.584,,,
65,24/07/22 05:00:00,12.268,2.930,-0.563,-1.584,,,
66,24/07/22 05:30:00,12.074,2.956,-0.535,-1.584,,,
67,24/07/22 06:00:00,11.759,2.956,-0.535,-1.584,,,
68,24/07/22 06:30:00,11.443,2.983,-0.535,-1.584,,,
69,24/07/22 07:00:00,11.200,3.009,-0.563,-1.584,,,
70,24/07/22 07:30:00,10.956,3.036,-0.563,-1.584,,,
71,24/07/22 08:00:00,10.712,3.036,-0.563,-1.584,,,
72,24/07/22 08:30:00,10.467,3.063,-0.563,-1.584,,,
73,24/07/22 09:00:00,10.222,3.089,-0.563,-1.584,,,
74,24/07/22 09:30:00,10.100,3.089,-0.563,-1.584,,,
75,24/07/22 10:00:00,10.051,3.116,-0.563,-1.584,,,
76,24/07/22 10:30:00,10.026,3.142,-0.563,-1.584,,,
77,24/07/22 11:00:00,10.026,3.142,-0.563,-1.584,,,
78,24/07/22 11:30:00,9.977,3.142,-0.563,-1.584,,,
79,24/07/22 12:00:00,9.928,3.168,-0.563,-1.584,,,
80,24/07/22 12:30:00,9.928,3.168,-0.563,-1.584,,,
81,24/07/22 13:00:00,9.977,3.168,-0.563,-1.584,,,
82,24/07/22 13:30:00,10.149,3.195,-0.563,-1.584,,,
83,24/07/22 14:00:00,10.271,3.168,-0.563,-1.584,,,
84,24/07/22 14:30:00,10.345,3.195,-0.563,-1.584,,,
85,24/07/22 15:00:00,10.492,3.195,-0.563,-1.584,,,
86,24/07/22 15:30:00,10.590,3.195,-0.563,-1.584,,,
87,24/07/22 16:00:00,10.712,3.195,-0.563,-1.556,,,
88,24/07/22 16:30:00,10.858,3.195,-0.563,-1.584,,,
89,24/07/22 17:00:00,10.858,3.195,-0.563,-1.584,,,
90,24/07/22 17:30:00,10.980,3.168,-0.563,-1.584,,,
91,24/07/22 18:00:00,11.175,3.195,-0.563,-1.556,,,
92,24/07/22 18:30:00,11.321,3.168,-0.563,-1.584,,,
93,24/07/22 19:00:00,11.589,3.168,-0.563,-1.584,,,
94,24/07/22 19:30:00,11.977,3.195,-0.563,-1.556,,,
95,24/07/22 20:00:00,11.953,3.195,-0.563,-1.584,,,
96,24/07/22 20:30:00,11.904,3.195,-0.563,-1.584,,,
97,24/07/22 21:00:00,12.147,3.195,-0.563,-1.556,,,
98,24/07/22 21:30:00,12.292,3.195,-0.563,-1.584,,,
99,24/07/22 22:00:00,12.171,3.195,-0.563,-1.556,,,
100,24/07/22 22:30:00,12.001,3.195,-0.563,-1.556,,,
101,24/07/22 23:00:00,11.832,3.221,-0.563,-1.556,,,
102,24/07/22 23:30:00,11.637,3.221,-0.563,-1.556,,,
103,24/07/23 00:00:00,11.467,3.221,-0.563,-1.556,,,
104,24/07/23 00:30:00,11.419,3.221,-0.563,-1.584,,,
105,24/07/23 01:00:00,11.346,3.221,-0.563,-1.584,,,
106,24/07/23 01:30:00,11.273,3.221,-0.563,-1.556,,,
107,24/07/23 02:00:00,11.127,3.248,-0.563,-1.556,,,
108,24/07/23 02:30:00,11.053,3.248,-0.563,-1.556,,,
109,24/07/23 03:00:00,10.956,3.248,-0.563,-1.556,,,
110,24/07/23 03:30:00,10.834,3.274,-0.563,-1.556,,,
111,24/07/23 04:00:00,10.712,3.274,-0.563,-1.556,,,
112,24/07/23 04:30:00,10.614,3.274,-0.563,-1.556,,,
113,24/07/23 05:00:00,10.467,3.301,-0.563,-1.556,,,
114,24/07/23 05:30:00,10.345,3.301,-0.563,-1.556,,,
115,24/07/23 06:00:00,10.198,3.301,-0.563,-1.556,,,
116,24/07/23 06:30:00,10.075,3.301,-0.563,-1.556,,,
117,24/07/23 07:00:00,9.952,3.327,-0.563,-1.556,,,
118,24/07/23 07:30:00,9.879,3.327,-0.563,-1.556,,,
119,24/07/23 08:00:00,9.780,3.354,-0.563,-1.556,,,
120,24/07/23 08:30:00,9.756,3.433,-0.563,-1.556,,,
121,24/07/23 09:00:00,9.706,3.433,-0.563,-1.556,,,
122,24/07/23 09:30:00,9.657,3.406,-0.563,-1.556,,,
123,24/07/23 10:00:00,9.583,3.380,-0.563,-1.556,,,
124,24/07/23 10:30:00,9.558,3.380,-0.563,-1.556,,,
125,24/07/23 11:00:00,9.509,3.380,-0.563,-1.556,,,
126,24/07/23 11:30:00,9.460,3.380,-0.563,-1.556,,,
127,24/07/23 12:00:00,9.386,3.354,-0.563,-1.556,,,
128,24/07/23 12:30:00,9.336,3.327,-0.563,-1.556,,,
129,24/07/23 13:00:00,9.312,3.301,-0.563,-1.556,,,
130,24/07/23 13:30:00,9.262,3.301,-0.563,-1.556,,,
131,24/07/23 14:00:00,9.262,3.274,-0.563,-1.556,,,
132,24/07/23 14:30:00,9.287,3.274,-0.563,-1.556,,,
133,24/07/23 15:00:00,9.312,3.274,-0.563,-1.556,,,
134,24/07/23 15:30:00,9.336,3.248,-0.563,-1.556,,,
135,24/07/23 16:00:00,9.361,3.248,-0.563,-1.556,,,
136,24/07/23 16:30:00,9.460,3.221,-0.563,-1.556,,,
137,24/07/23 17:00:00,9.558,3.221,-0.563,-1.556,,,
138,24/07/23 17:30:00,9.682,3.221,-0.563,-1.556,,,
139,24/07/23 18:00:00,9.756,3.195,-0.563,-1.556,,,
140,24/07/23 18:30:00,9.805,3.195,-0.563,-1.556,,,
141,24/07/23 19:00:00,9.928,3.195,-0.563,-1.556,,,
142,24/07/23 19:30:00,10.124,3.195,-0.563,-1.556,,,
143,24/07/23 20:00:00,10.369,3.195,-0.563,-1.556,,,
144,24/07/23 20:30:00,10.614,3.168,-0.563,-1.556,,,
145,24/07/23 21:00:00,10.810,3.168,-0.563,-1.556,,,
146,24/07/23 21:30:00,10.858,3.142,-0.563,-1.556,,,
147,24/07/23 22:00:00,11.029,3.142,-0.563,-1.556,,,
148,24/07/23 22:30:00,11.200,3.142,-0.563,-1.556,,,
149,24/07/23 23:00:00,11.443,3.142,-0.563,-1.556,,,
150,24/07/23 23:30:00,11.589,3.142,-0.563,-1.556,,,
151,24/07/24 00:00:00,11.686,3.142,-0.563,-1.556,,,
152,24/07/24 00:30:00,11.662,3.142,-0.563,-1.556,,,
153,24/07/24 01:00:00,11.540,3.142,-0.563,-1.556,,,
154,24/07/24 01:30:00,11.394,3.142,-0.563,-1.556,,,
155,24/07/24 02:00:00,11.273,3.168,-0.563,-1.556,,,
156,24/07/24 02:30:00,11.127,3.168,-0.563,-1.556,,,
157,24/07/24 03:00:00,11.005,3.168,-0.563,-1.556,,,
158,24/07/24 03:30:00,10.883,3.168,-0.563,-1.556,,,
159,24/07/24 04:00:00,10.810,3.168,-0.563,-1.556,,,
160,24/07/24 04:30:00,10.761,3.195,-0.563,-1.556,,,
161,24/07/24 05:00:00,10.663,3.195,-0.563,-1.556,,,
162,24/07/24 05:30:00,10.541,3.195,-0.563,-1.556,,,
163,24/07/24 06:00:00,10.369,3.221,-0.563,-1.556,,,
164,24/07/24 06:30:00,10.198,3.221,-0.563,-1.556,,,
165,24/07/24 07:00:00,10.026,3.221,-0.563,-1.556,,,
166,24/07/24 07:30:00,9.829,3.248,-0.563,-1.527,,,
167,24/07/24 08:00:00,9.682,3.248,-0.563,-1.527,,,
168,24/07/24 08:30:00,9.534,3.248,-0.563,-1.556,,,
169,24/07/24 09:00:00,9.386,3.274,-0.563,-1.556,,,
170,24/07/24 09:30:00,9.287,3.274,-0.563,-1.556,,,
171,24/07/24 10:00:00,9.213,3.274,-0.563,-1.527,,,
172,24/07/24 10:30:00,9.139,3.274,-0.563,-1.556,,,
173,24/07/24 11:00:00,9.114,3.274,-0.563,-1.527,,,
174,24/07/24 11:30:00,9.114,3.274,-0.563,-1.556,,,
175,24/07/24 12:00:00,9.089,3.274,-0.563,-1.556,,,
176,24/07/24 12:30:00,9.089,3.274,-0.563,-1.556,,,
177,24/07/24 13:00:00,9.114,3.274,-0.563,-1.527,,,
178,24/07/24 13:30:00,9.188,3.301,-0.563,-1.556,,,
179,24/07/24 14:00:00,9.262,3.274,-0.535,-1.527,,,
180,24/07/24 14:30:00,9.361,3.274,-0.563,-1.527,,,
181,24/07/24 15:00:00,9.534,3.274,-0.563,-1.556,,,
182,24/07/24 15:30:00,9.706,3.274,-0.563,-1.527,,,
183,24/07/24 16:00:00,9.977,3.274,-0.563,-1.527,,,
184,24/07/24 16:30:00,10.247,3.274,-0.563,-1.527,,,
185,24/07/24 17:00:00,10.590,3.274,-0.563,-1.527,,,
186,24/07/24 17:30:00,10.761,3.248,-0.563,-1.527,,,
187,24/07/24 18:00:00,10.883,3.248,-0.563,-1.527,,,
188,24/07/24 18:30:00,11.029,3.248,-0.563,-1.527,,,
189,24/07/24 19:00:00,11.151,3.248,-0.563,-1.527,,,
190,24/07/24 19:30:00,11.297,3.248,-0.563,-1.556,,,
191,24/07/24 20:00:00,11.443,3.248,-0.563,-1.527,,,
